amfi_code,cagr,sharpe_ratio,max_drawdown,alpha,beta,cagr_rank,sharpe_rank,alpha_rank,maxdd_rank,fund_score
120505,0.3280159948038617,1.1801011976606492,-0.1818851357211629,0.29301371282563315,-0.017391171743071688,1.0,5.0,3.0,16.0,4.2
148569,0.31924485848158723,1.2349300257743294,-0.16396742946932633,0.28347336470728673,-0.010201365088271724,4.0,3.0,4.0,20.0,5.3
119598,0.3239808398464554,0.9453082575156095,-0.28706005721764555,0.3011144193310002,0.0742664848380288,2.0,14.0,1.0,5.0,5.65
149324,0.3226210752841656,0.9497958246616031,-0.3117190030063422,0.2981786893056835,0.13260808824054157,3.0,13.0,2.0,4.0,5.85
120843,0.30883325525154603,1.3067439695428409,-0.1297396816518679,0.2727835993505962,-0.008737359353900992,6.0,2.0,5.0,28.0,6.75
148567,0.30949920362874206,1.4482911703262598,-0.1126572907502827,0.2711501636821103,-0.028133312231657468,5.0,1.0,7.0,33.0,7.1
100033,0.30099703552874524,1.093698743534631,-0.1621720857464485,0.2723430403957973,-0.011199710059456157,7.0,7.0,6.0,21.0,8.15
149323,0.29558105232568344,1.1321218524747243,-0.17248105753451382,0.26583594480787764,0.0034785300797906637,8.0,6.0,8.0,19.0,8.5
119551,0.2578492084946409,1.2082665673727175,-0.15012385498645334,0.23219648016717326,-0.05604508562674623,10.0,4.0,10.0,24.0,9.600000000000001
119094,0.28192608222062465,0.9982309868636413,-0.20960883862039192,0.25997054053321056,-0.059868150583866575,9.0,11.0,9.0,13.0,10.0
118632,0.2403119561352478,1.0816591793457042,-0.17414075086657232,0.21728068775563278,0.0364342177314729,11.0,8.0,11.0,18.0,10.8
101206,0.23520488754230384,1.0272133278753695,-0.11291596329323078,0.2139447485061358,0.03381398454659161,12.0,9.0,12.0,32.0,13.099999999999998
120504,0.2327744753273051,1.0265242847993001,-0.12588275606922514,0.2120943009940057,0.017025361766949264,13.0,10.0,13.0,29.0,13.700000000000001
148568,0.22499840384352243,0.9262873467360144,-0.1527259422823477,0.2079171509667248,5.1161967409606524e-05,14.0,15.0,14.0,22.0,15.099999999999998
119552,0.21508021785499332,0.9532794968660104,-0.118034935027643,0.1982932218749148,-0.01985302504967574,15.0,12.0,15.0,30.0,15.6
125497,0.19003613208378556,0.7757902498211205,-0.15200013055606393,0.1789129568352085,-0.005459316559048836,16.0,18.0,16.0,23.0,17.3
120503,0.18771330105513617,0.7979728586052847,-0.13897862823061635,0.17587937785242744,-0.004111147836045653,17.0,17.0,18.0,27.0,18.25
120506,0.17072227512921923,0.6488787755249532,-0.1982565826298267,0.16283731486753183,0.04770801520256513,19.0,20.0,20.0,14.0,19.049999999999997
102885,0.18218826089343754,0.8170993373494367,-0.10859862152502323,0.16992711557794749,-0.001884187405463707,18.0,16.0,19.0,34.0,19.25
102887,0.16828673461948984,0.6195175900829828,-0.21539827112383228,0.16179316452470288,0.04011620562000174,20.0,22.0,21.0,11.0,19.950000000000003
118634,0.16361396476593382,0.44843400890899127,-0.2334488614483311,0.1780020912356628,0.009128170084160643,21.0,26.0,17.0,9.0,20.299999999999997
118633,0.16262218000296524,0.6452074382933215,-0.1862974313859551,0.15503795076034138,0.013157652619096521,22.0,21.0,22.0,15.0,21.0
118635,0.15945481185082522,0.664856998549062,-0.11650624505409093,0.15160602363545675,-0.013806609371555983,23.0,19.0,23.0,31.0,22.6
120841,0.13522349085511554,0.4942725378672349,-0.17573614164687285,0.13068278268538389,0.04167578236653612,24.0,24.0,25.0,17.0,23.549999999999997
149322,0.13383520958789363,0.46403744922047774,-0.14844576917771746,0.13129906992674878,0.014848756863667932,25.0,25.0,24.0,25.0,24.75
125498,0.11293660210400969,0.30061192104254786,-0.2111727956013212,0.12055386350487392,-0.01851286878959151,26.0,27.0,26.0,12.0,24.9
101207,0.07933120999915699,0.16266076928646772,-0.3544691649336603,0.10820454812152297,-0.0598558458646006,27.0,28.0,27.0,3.0,24.900000000000002
119093,0.07891944369437343,0.12961449795669328,-0.2175139637014823,0.08329931222337687,-0.008427720099019355,28.0,29.0,28.0,10.0,26.5
